rating,genre,year,score,votes,continent,runtime,gross
PG,Action,1980,5,4100,Europe,115,7000000
PG,Drama,1980,7.9,13000,Oceania,107,47000000
R,Horror,1980,4.6,3900,North America,82,35000000
PG,Biography,1980,8.3,15000,Africa,173,1000000
PG,Biography,1980,4.2,3700,North America,124,2000000
PG,Comedy,1980,6.7,2900,North America,91,18014000
PG,Fantasy,1980,5.3,2400,North America,97,6000000
R,Comedy,1980,5.5,875,North America,91,11000000
PG,Comedy,1980,8.1,12000,Europe,150,17023
PG,Action,1980,6.9,1000,North America,108,18636482
Not Rated,Action,1980,6.7,230,Asia,89,25309
R,Drama,1980,8.4,927000,Europe,146,46998772
R,Action,1980,5.8,65000,North America,104,58853106
PG,Action,1980,8.7,1200000,North America,124,538375067
PG,Comedy,1980,7.7,221000,North America,88,83453539
R,Comedy,1980,7.3,108000,North America,98,39846344
R,Horror,1980,6.4,123000,North America,95,39754601
R,Action,1980,7.9,188000,North America,133,115229890
R,Biography,1980,8.2,330000,North America,129,23402427
PG,Action,1980,6.8,101000,North America,127,108185706
R,Biography,1980,7,10000,North America,100,15795189
PG,Action,1980,6.1,18000,North America,116,70687344
PG,Action,1980,7.3,54000,Africa,109,30031783
PG,Action,1980,5.3,30000,North America,114,49823037
R,Drama,1980,7.7,49000,North America,124,54766923
R,Horror,1980,7.1,37000,North America,104,31899000
PG,Drama,1980,7.2,27000,North America,103,9709597
R,Drama,1980,6.6,21000,North America,134,21202829
PG,Comedy,1980,6.9,29000,North America,109,103300686
R,Horror,1980,6.8,66000,North America,89,21448782
R,Comedy,1980,6.8,26000,North America,111,101300000
R,Horror,1980,6.5,20000,Europe,102,19814523
R,Action,1980,6.8,14000,North America,219,3484523
PG,Action,1980,6.7,22000,North America,103,16647800
PG,Fantasy,1980,5.3,12000,North America,96,22762571
PG,Drama,1980,6.4,14000,North America,132,46918287
R,Horror,1980,6.9,33000,North America,102,19853892
R,Comedy,1980,6.5,5100,North America,96,34326249
R,Horror,1980,7.2,17000,North America,131,37121708
R,Horror,1980,6.2,22000,North America,117,22743674
PG,Comedy,1980,7.1,8900,North America,102,22482952
R,Horror,1980,5.4,16000,North America,92,14796236
PG,Action,1980,5.3,15000,North America,100,66132626
PG,Drama,1980,6.1,604,North America,97,534816
PG,Comedy,1980,6.7,9100,North America,102,43995918
R,Comedy,1980,6.2,24000,North America,109,69847348
R,Comedy,1980,6.3,4300,North America,91,10000000
R,Comedy,1980,6,11000,North America,101,6342668
PG,Drama,1980,5.9,4000,North America,115,27118000
PG,Biography,1980,7.5,17000,North America,124,67182787
PG,etc,1980,6.3,5700,North America,84,5000000
R,Action,1980,7.1,9000,North America,131,7063886
R,Biography,1980,6.6,11000,North America,99,6659377
R,Horror,1980,4.8,2000,Europe,101,8415112
R,Comedy,1980,6.1,12000,North America,99,41675194
R,Action,1980,5.3,3900,North America,109,15716828
PG,Action,1980,5.1,3100,North America,94,14662035
PG,Comedy,1980,7.3,22000,North America,89,10389003
R,Comedy,1980,6.8,4500,North America,95,4309490
PG,Action,1980,6.1,11000,North America,116,24265659
R,Comedy,1980,7,6700,Europe,139,12516
PG,Action,1980,4.6,2600,North America,121,3763988
PG,Comedy,1980,5.4,2400,North America,103,6216067
R,Action,1980,5.1,5200,North America,103,18971000
G,Action,1980,5,5300,North America,100,18000000
PG,Drama,1980,6.7,1900,North America,123,14287755
PG,Drama,1980,6.3,1400,North America,119,17815212
PG,Drama,1980,7.3,2800,North America,103,3910019
PG,Comedy,1980,6.3,2000,North America,93,7653061
PG,Comedy,1980,5.1,2000,North America,100,10697276
R,Comedy,1980,6.6,915,North America,86,9870727
PG,Comedy,1980,6,1500,North America,98,15934737
PG,Comedy,1980,4.7,1800,North America,103,14155617
G,Animation,1980,7.3,2900,North America,75,2013193
PG,Comedy,1980,5.5,965,North America,97,5215015
PG,Comedy,1980,5.2,1100,North America,106,4226370
R,Comedy,1980,5.5,585,North America,112,2086905
G,Action,1980,5.8,1300,North America,97,11000000
PG,Comedy,1980,6.3,1400,North America,103,6321392
R,Comedy,1980,5.9,415,North America,115,4400000
Not Rated,Drama,1980,7.4,1300,Europe,95,109749
R,Drama,1980,4,546,North America,94,59167
R,Drama,1980,4.8,643,North America,96,2128395
PG,Comedy,1980,5.2,351,North America,97,2806659
Not Rated,Animation,1980,7.9,4800,Europe,83,167451
PG,Comedy,1980,5.2,2100,North America,94,14504277
R,Comedy,1980,6.5,269,North America,105,804713
R,Comedy,1980,5.8,1900,Europe,102,6950125
R,Comedy,1980,4.3,740,North America,89,6621520
R,Comedy,1980,6.8,599,North America,96,2261507
PG,Comedy,1980,6.5,211,North America,105,1175855
R,Comedy,1980,4.3,593,North America,97,15198912
PG,Action,1981,8.4,905000,North America,115,389925971
R,Horror,1981,7.4,32000,North America,113,24058838
R,Comedy,1981,7.5,97000,Europe,97,30669378
R,Action,1981,7.2,131000,North America,99,25244626
NC-17,Horror,1981,7.5,192000,North America,85,2956630
R,Comedy,1981,6.2,40000,North America,94,111289673
R,Horror,1981,7.4,47000,North America,108,12000000
PG,Action,1981,6.9,42000,Europe,118,41092328
R,Action,1981,7.4,59000,Europe,140,34971136
R,Action,1981,7.6,170000,Oceania,96,23668369
Not Rated,Action,1981,8.3,237000,Europe,149,11487676
R,Comedy,1981,6.9,68000,North America,106,85297000
R,Drama,1981,7.4,27000,Europe,124,1113538
PG,Action,1981,6.2,34000,North America,95,72179579
R,Action,1981,7.4,27000,North America,123,11492915
R,Drama,1981,4.9,7600,North America,116,32492674
PG,Action,1981,7,60000,Europe,110,42368025
PG,Comedy,1981,6.8,4200,North America,107,50427646
R,Horror,1981,6.1,61000,North America,87,21722776
R,Horror,1981,6.8,51000,North America,103,14225876
PG,Action,1981,6.7,94000,Europe,127,54813222
R,Horror,1981,6.5,77000,North America,92,25533818
PG,Drama,1981,6.8,17000,North America,126,35856053
PG,Biography,1981,7.3,21000,North America,195,40382659
PG,Drama,1981,7.6,29000,North America,109,119285432
G,Animation,1981,7.3,87000,North America,83,63456988
PG,Biography,1981,7.2,56000,Europe,125,59303359
PG,Drama,1981,6.9,12000,North America,116,40716963
Not Rated,Action,1981,3.4,5300,North America,115,36565280
PG,Drama,1981,6.7,29000,Europe,116,10853418
PG,Comedy,1981,6.9,27000,North America,97,95461682
PG,Biography,1981,7.8,19000,North America,110,5073
PG,Comedy,1981,5.8,7300,North America,91,15965924
R,Comedy,1981,6.9,47000,North America,92,31672907
R,Horror,1981,6.6,32000,North America,91,17985893
PG,Action,1981,6.7,16000,Europe,109,14110013
R,Horror,1981,6.9,5300,North America,109,1752634
R,Action,1981,7.3,21000,North America,100,20962615
R,Horror,1981,5.6,19000,Europe,108,20471382
R,Biography,1981,6.7,15000,North America,129,19032261
R,Comedy,1981,5.2,3400,North America,87,26279000
R,Horror,1981,6.6,22000,Europe,122,12376625
PG,Drama,1981,7.3,9000,North America,155,14920781
R,Horror,1981,5.6,5200,North America,100,8279042
R,Horror,1981,6,4500,North America,103,6400000
PG,Action,1981,7.4,38000,Oceania,110,5732587
R,Action,1981,6.6,28000,Europe,109,17374595
R,Comedy,1981,6.4,5700,North America,122,14867086
R,Horror,1981,6.8,21000,Europe,87,123843
R,Drama,1981,6.3,7900,North America,110,23371905
R,Horror,1981,6.3,19000,North America,90,5672031
R,Horror,1981,5.9,13000,North America,96,7886857
R,Drama,1981,6.5,5700,North America,107,636796
R,Drama,1981,7,13000,Europe,124,26890068
G,Action,1981,7.2,14000,Europe,97,31206251
R,Horror,1981,6.3,7500,North America,108,12850276
R,Action,1981,6.4,18000,North America,99,19905359
R,Comedy,1981,6.2,7100,North America,88,37000000
R,Action,1981,6.3,5600,North America,122,35610100
R,Comedy,1981,5.6,7600,North America,94,29916207
R,Comedy,1981,5.9,1300,Oceania,87,237000
R,Drama,1981,7.1,9900,Europe,112,17583634
R,Horror,1981,6.3,9400,North America,115,10626725
R,Comedy,1981,5.5,4400,North America,86,5165432
R,Horror,1981,7.5,7600,North America,167,8124257
R,Drama,1981,5.5,5700,North America,104,2447576
PG,Comedy,1981,6.2,4800,North America,103,15578237
R,etc,1981,7.2,12000,Europe,117,110014
R,Horror,1981,5.8,2600,Europe,92,5229643
R,Horror,1981,6.7,5800,North America,125,29200000
R,Horror,1981,6,2400,North America,84,1118634
PG,Comedy,1981,5.4,2600,North America,98,18826490
PG,Comedy,1981,5.6,2600,North America,92,9566593
PG,Comedy,1981,5.5,4500,North America,88,20259961
PG,Drama,1981,6,891,North America,112,14923752
R,Drama,1981,6.3,1300,Europe,101,12042
PG,Comedy,1981,5.1,4900,North America,93,26154211
R,Drama,1981,6.5,5300,North America,108,9171289
PG,Action,1981,5.1,2000,North America,98,12617845
PG,Action,1981,5.2,1300,Europe,118,2022771
R,Horror,1981,5.6,2400,North America,88,1169875
R,Drama,1981,6.8,1100,North America,103,3256082
R,Drama,1981,5.9,1600,North America,117,14492125
R,Comedy,1981,6.5,4500,North America,96,7258543
R,Comedy,1981,6.1,2900,North America,94,31261269
R,Comedy,1981,7,3600,North America,93,2863642
PG,Comedy,1981,4.3,1300,North America,78,2154696
R,Action,1981,5.6,829,North America,94,11809387
PG,Comedy,1981,5,761,North America,100,17569027
R,Drama,1981,6.8,1400,North America,94,1976198
R,Comedy,1981,7.3,2700,North America,119,8206145
PG,Drama,1981,2.7,659,Asia,140,5200986
R,Comedy,1981,5.5,1700,North America,87,4454295
PG,Action,1981,5.6,1100,North America,100,3702028
R,Drama,1981,5.4,1100,North America,116,10851261
R,Comedy,1981,6.5,1300,North America,120,25524778
PG,Action,1981,5.2,928,North America,107,2004742
PG,Comedy,1981,4.9,920,North America,94,18838812
PG,Action,1981,5.5,384,North America,90,1791147
PG,Comedy,1981,5,1200,North America,96,16000000
R,Horror,1981,5.8,782,North America,112,6892098
R,etc,1981,5.1,499,Europe,91,12000000
Not Rated,Action,1981,6.9,1100,Europe,129,17110
PG,Drama,1981,6.3,228,North America,94,1622898
R,Horror,1981,6.6,11000,North America,94,216166
R,Action,1981,7.2,17000,North America,106,5000000
PG,Drama,1981,6.1,4900,North America,93,3282232
PG,Action,1981,6.2,4100,North America,93,11118000
R,Horror,1981,4.9,3600,North America,96,23894000
R,Animation,1981,7.2,4400,North America,96,6000000
R,Action,1981,5.5,3600,North America,106,7680000
R,Horror,1981,2.9,674,North America,82,1083395
PG,Comedy,1981,5.1,101,North America,100,1096843
R,Biography,1982,7.3,7300,North America,140,5000000
PG,Horror,1982,3.6,1700,North America,83,426284
Not Rated,Animation,1982,6.8,352,North America,78,612300
R,Horror,1982,5.7,253,North America,96,112940
R,Comedy,1982,3.8,651,North America,98,390000
PG,Drama,1982,7,240,Europe,80,1080769
PG,Comedy,1982,6.7,75,North America,90,1202230
R,Comedy,1982,7.2,98000,North America,90,27092880
R,Action,1982,8.1,710000,North America,117,41676878
R,Horror,1982,8.1,382000,North America,109,19632053
R,Action,1982,6.9,141000,North America,129,68851475
PG,etc,1982,7.8,381000,North America,115,792910554
R,Action,1982,7.7,234000,North America,93,125212904
R,Drama,1982,7,52000,North America,124,129795554
PG,Comedy,1982,4.4,34000,North America,115,15171476
PG,Comedy,1982,6.6,41000,North America,127,57063861
PG,Horror,1982,7.3,148000,North America,114,77142388
R,Action,1982,6.9,73000,North America,96,78868508
PG,Action,1982,7.7,115000,North America,113,78912963
R,Action,1982,4.9,2500,North America,100,5588800
R,Comedy,1982,6.3,8100,North America,92,5829781
R,Drama,1982,7.6,44000,Europe,150,30036000
PG,Biography,1982,8,220000,Europe,191,52767889
PG,Comedy,1982,7.4,100000,North America,116,177200000
PG,Action,1982,6.8,115000,North America,96,33000525
G,Animation,1982,7.6,37000,North America,82,14665733
PG,Comedy,1982,7.8,94000,North America,109,2536242
PG,Drama,1982,6.8,179000,North America,99,125052686
PG,Action,1982,6.2,22000,North America,118,14056528
R,Comedy,1982,6.9,44000,North America,120,21028755
PG,Action,1982,7.3,8200,Oceania,102,20659423
R,Drama,1982,8,78000,Europe,95,22265763
R,Fantasy,1982,6.2,20000,North America,118,7000000
R,Drama,1982,8.1,59000,Europe,188,6795771
R,Horror,1982,5.7,49000,North America,95,36690067
PG,Action,1982,6,26000,North America,136,46708276
R,Horror,1982,5,45000,North America,98,14400000
PG,Action,1982,7.2,63000,Europe,93,41630431
R,Drama,1982,7.7,37000,North America,129,53993738
Not Rated,Horror,1982,6.1,9300,Europe,85,2032311
R,Comedy,1982,4.9,6500,North America,98,16897768
PG,Comedy,1982,5.9,2800,North America,108,20225989
R,Comedy,1982,7.2,25000,North America,136,29712172
R,Comedy,1982,7.1,19000,North America,110,14099953
R,Comedy,1982,6,10000,North America,114,69701637
PG,Drama,1982,7.1,20000,Oceania,115,10278575
R,Comedy,1982,6.6,15000,North America,106,21095638
R,Comedy,1982,5.7,3900,North America,98,4968000
