rating_PG,rating_R,rating_G,rating_Not Rated,rating_NC-17,rating_PG-13,genre_Action,genre_Drama,genre_Horror,genre_Biography,genre_Comedy,genre_Fantasy,genre_Animation,genre_etc,year,1980s,1990s,2000s,2010s,2020,period,score,votes,continent_Europe,continent_Oceania,continent_North America,continent_South America,continent_Africa,continent_Asia,continent_Middle East,runtime,gross,gross_classification
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,5,4100,1,0,0,0,0,0,0,115,7000000,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,7.9,13000,0,1,0,0,0,0,0,107,47000000,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,4.6,3900,0,0,1,0,0,0,0,82,35000000,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1980,1,0,0,0,0,42,8.3,15000,0,0,0,0,1,0,0,173,1000000,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1980,1,0,0,0,0,42,4.2,3700,0,0,1,0,0,0,0,124,2000000,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.7,2900,0,0,1,0,0,0,0,91,18014000,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1980,1,0,0,0,0,42,5.3,2400,0,0,1,0,0,0,0,97,6000000,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,5.5,875,0,0,1,0,0,0,0,91,11000000,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,8.1,12000,1,0,0,0,0,0,0,150,17023,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.9,1000,0,0,1,0,0,0,0,108,18636482,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.7,230,0,0,0,0,0,1,0,89,25309,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,8.4,927000,1,0,0,0,0,0,0,146,46998772,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,5.8,65000,0,0,1,0,0,0,0,104,58853106,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,8.7,1200000,0,0,1,0,0,0,0,124,538375067,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,7.7,221000,0,0,1,0,0,0,0,88,83453539,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,7.3,108000,0,0,1,0,0,0,0,98,39846344,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,6.4,123000,0,0,1,0,0,0,0,95,39754601,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,7.9,188000,0,0,1,0,0,0,0,133,115229890,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1980,1,0,0,0,0,42,8.2,330000,0,0,1,0,0,0,0,129,23402427,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.8,101000,0,0,1,0,0,0,0,127,108185706,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1980,1,0,0,0,0,42,7,10000,0,0,1,0,0,0,0,100,15795189,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.1,18000,0,0,1,0,0,0,0,116,70687344,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,7.3,54000,0,0,0,0,1,0,0,109,30031783,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,5.3,30000,0,0,1,0,0,0,0,114,49823037,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,7.7,49000,0,0,1,0,0,0,0,124,54766923,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,7.1,37000,0,0,1,0,0,0,0,104,31899000,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,7.2,27000,0,0,1,0,0,0,0,103,9709597,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.6,21000,0,0,1,0,0,0,0,134,21202829,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.9,29000,0,0,1,0,0,0,0,109,103300686,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,6.8,66000,0,0,1,0,0,0,0,89,21448782,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.8,26000,0,0,1,0,0,0,0,111,101300000,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,6.5,20000,1,0,0,0,0,0,0,102,19814523,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.8,14000,0,0,1,0,0,0,0,219,3484523,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.7,22000,0,0,1,0,0,0,0,103,16647800,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1980,1,0,0,0,0,42,5.3,12000,0,0,1,0,0,0,0,96,22762571,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.4,14000,0,0,1,0,0,0,0,132,46918287,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,6.9,33000,0,0,1,0,0,0,0,102,19853892,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.5,5100,0,0,1,0,0,0,0,96,34326249,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,7.2,17000,0,0,1,0,0,0,0,131,37121708,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,6.2,22000,0,0,1,0,0,0,0,117,22743674,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,7.1,8900,0,0,1,0,0,0,0,102,22482952,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1980,1,0,0,0,0,42,5.4,16000,0,0,1,0,0,0,0,92,14796236,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1,0,0,0,0,42,5.3,15000,0,0,1,0,0,0,0,100,66132626,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,1,0,0,0,0,42,6.1,604,0,0,1,0,0,0,0,97,534816,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.7,9100,0,0,1,0,0,0,0,102,43995918,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.2,24000,0,0,1,0,0,0,0,109,69847348,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6.3,4300,0,0,1,0,0,0,0,91,10000000,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1980,1,0,0,0,0,42,6,11000,0,0,1,0,0,0,0,101,6342668,0
